ID,Delivery_person_Ratings,Order_Date,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken,Order_Day,Order_Hour,Distance_km
0xcdcd,4.2,2022-02-12,Fog,Jam,2,Snack,motorcycle,3,No,Metropolitian,46,Saturday,21,10.27146402322994
0xd987,4.7,2022-02-13,Stormy,High,1,Meal,motorcycle,1,No,Metropolitian,23,Sunday,14,6.229376076976667
0x2784,4.7,2022-03-04,Sandstorms,Medium,1,Drinks,scooter,1,No,Metropolitian,21,Friday,17,13.764305929575334
0xc8b6,4.3,2022-02-13,Sandstorms,Low,0,Buffet,motorcycle,0,No,Metropolitian,20,Sunday,9,2.9277947281095997
0xdb64,4.7,2022-02-14,Fog,Jam,1,Snack,scooter,1,No,Metropolitian,41,Monday,19,19.37348408863585
0x3af3,4.5,2022-04-02,Sandstorms,Jam,2,Buffet,electric_scooter,1,No,Metropolitian,20,Saturday,20,13.740932234405253
0x3aab,4.0,2022-03-01,Windy,High,1,Meal,scooter,1,No,Metropolitian,33,Tuesday,14,6.205589948340002
0x689b,4.2,2022-03-16,Sandstorms,Jam,2,Snack,motorcycle,1,No,Metropolitian,40,Wednesday,20,16.821191645783845
0xc9cf,4.7,2022-02-15,Windy,Jam,0,Meal,motorcycle,1,No,Urban,15,Tuesday,21,4.533895591762387
0x36b8,4.1,2022-03-16,Sandstorms,Jam,0,Snack,motorcycle,2,No,Metropolitian,36,Wednesday,20,12.23513612361146
0x5795,4.7,2022-03-10,Sandstorms,Low,2,Meal,electric_scooter,0,No,Metropolitian,26,Thursday,22,19.590994221235338
0x6c6b,5.0,2022-03-11,Sandstorms,Low,1,Snack,motorcycle,1,No,Metropolitian,20,Friday,8,1.554950180979803
0xb816,4.3,2022-03-27,Windy,Jam,2,Meal,scooter,1,No,Metropolitian,39,Sunday,19,20.140905255245308
0x539b,4.0,2022-03-26,Cloudy,High,1,Buffet,motorcycle,1,No,Metropolitian,34,Saturday,12,6.106736943461254
0xa1b2,4.5,2022-03-27,Sunny,Medium,2,Meal,electric_scooter,1,No,Metropolitian,15,Sunday,18,17.04198395713032
0x3231,5.0,2022-04-05,Stormy,Jam,0,Snack,motorcycle,0,No,Urban,18,Tuesday,20,4.4650683810240395
0x8bc0,4.3,2022-03-12,Cloudy,Low,1,Drinks,scooter,0,No,Metropolitian,38,Saturday,23,13.66073757837138
0x2288,4.0,2022-03-16,Windy,Jam,0,Buffet,motorcycle,1,No,Metropolitian,47,Wednesday,21,13.94563444308926
0x3c5e,4.8,2022-04-02,Windy,Low,2,Buffet,electric_scooter,0,No,Urban,12,Saturday,23,16.82479191121949
0x3e60,4.8,2022-04-01,Sandstorms,Low,2,Drinks,motorcycle,1,No,Metropolitian,26,Friday,22,4.664630782215899
0xbff,4.1,2022-03-05,Stormy,Low,0,Drinks,motorcycle,1,No,Urban,22,Saturday,22,7.589769422472331
0xd936,4.3,2022-02-11,Sandstorms,Low,0,Buffet,motorcycle,0,No,Urban,21,Friday,23,7.705941974795929
0xd681,4.9,2022-02-11,Cloudy,High,1,Drinks,scooter,1,No,Urban,25,Friday,13,6.164143763345328
0x2876,3.5,2022-03-08,Stormy,Jam,1,Snack,scooter,0,No,Urban,35,Tuesday,21,17.259376716936664
0x30c8,4.6,2022-04-02,Cloudy,Low,2,Drinks,scooter,1,No,Metropolitian,30,Saturday,22,19.8806889061088
0xb843,4.9,2022-03-08,Sunny,Medium,1,Snack,motorcycle,1,No,Metropolitian,22,Tuesday,18,10.706184356730288
0xb3a0,4.7,2022-04-03,Windy,High,1,Snack,scooter,0,No,Urban,10,Sunday,14,6.117369061558013
0x6531,4.8,2022-03-30,Sandstorms,Low,2,Meal,scooter,1,No,Metropolitian,19,Wednesday,10,1.51798712661804
0x4bda,5.0,2022-04-01,Sunny,Low,2,Snack,scooter,1,No,Urban,11,Friday,9,3.06801652533814
0x9d26,4.9,2022-03-28,Stormy,Low,2,Buffet,scooter,0,No,Metropolitian,11,Monday,8,3.0990100939446292
0x9b18,4.8,2022-03-18,Fog,Low,1,Snack,motorcycle,1,No,Metropolitian,28,Friday,22,10.846013590626095
0x5d99,4.3,2022-03-14,Cloudy,Medium,1,Snack,motorcycle,1,No,Metropolitian,33,Monday,17,10.844094035055107
0xb796,4.7,2022-04-04,Sandstorms,Jam,0,Snack,motorcycle,3,No,Metropolitian,52,Monday,19,13.661199383826538
0x85b4,4.6,2022-03-08,Stormy,Jam,1,Snack,scooter,1,No,Metropolitian,22,Tuesday,19,16.79799879130621
0xc644,4.9,2022-02-13,Fog,Low,1,Snack,scooter,1,No,Urban,16,Sunday,10,3.0227804656534882
0x6999,4.9,2022-03-24,Sunny,Jam,2,Drinks,electric_scooter,0,No,Metropolitian,11,Thursday,21,9.1598473686937
0x63b6,4.9,2022-03-19,Windy,Medium,1,Drinks,scooter,1,No,Metropolitian,25,Saturday,19,9.296712100181105
0xa30b,4.8,2022-03-09,Cloudy,Medium,0,Drinks,motorcycle,1,No,Urban,26,Wednesday,16,6.196805343667927
0x3556,5.0,2022-03-19,Sunny,High,2,Snack,scooter,1,No,Metropolitian,18,Saturday,11,1.5179748068733323
0x5554,4.9,2022-04-03,Fog,Medium,1,Snack,motorcycle,1,No,Metropolitian,16,Sunday,15,6.028674005255561
0x25fd,4.8,2022-03-25,Stormy,Low,2,Drinks,scooter,1,No,Metropolitian,23,Friday,22,17.044988256333504
0xc1ff,5.0,2022-02-13,Cloudy,Low,0,Snack,motorcycle,0,No,Metropolitian,15,Sunday,22,4.707104052532131
0x7ac8,4.8,2022-04-04,Sandstorms,Jam,0,Drinks,motorcycle,1,No,Metropolitian,36,Monday,20,12.43888855192116
0x3da1,4.7,2022-03-26,Cloudy,Low,2,Snack,motorcycle,0,No,Metropolitian,16,Saturday,22,9.107220024938373
0x272d,4.7,2022-03-10,Sunny,Medium,0,Buffet,motorcycle,0,No,Urban,19,Thursday,17,13.994592406584347
